281.37,7.12
281.45,6.98
281.54,6.85
281.62,6.73
281.69,6.63
281.74,6.55
281.80,6.45
281.83,6.36
281.87,6.27
281.93,6.14
281.96,6.07
281.99,5.96
282.02,5.85
282.03,5.68
282.05,5.51
282.02,5.34
281.99,5.18
281.96,5.01
281.93,4.85
281.90,4.75
281.87,4.65
281.83,4.56
281.80,4.46
281.77,4.37
281.74,4.27
281.70,4.18
281.67,4.08
281.63,4.00
281.59,3.91
281.55,3.83
281.51,3.74
281.47,3.66
281.43,3.57
281.39,3.49
281.35,3.41
281.29,3.33
281.23,3.25
281.16,3.18
281.10,3.10
281.04,3.02
280.97,2.95
280.91,2.87
280.85,2.79
280.77,2.71
280.69,2.62
280.61,2.53
280.53,2.44
280.46,2.35
280.38,2.26
280.30,2.18
280.22,2.09
280.16,2.02
280.10,1.96
280.03,1.89
279.97,1.83
279.91,1.76
279.85,1.69
279.78,1.63
279.72,1.56
279.65,1.44
279.58,1.32
279.51,1.19
279.44,1.07
279.36,0.91
279.28,0.76
279.20,0.60
279.13,0.45
279.08,0.36
279.04,0.27
279.00,0.18
278.95,0.09
278.91,-0.00
278.87,-0.09
278.83,-0.18
278.78,-0.27
278.76,-0.37
278.74,-0.47
278.71,-0.57
278.69,-0.68
278.67,-0.78
278.64,-0.88
278.62,-0.98
278.60,-1.08
278.57,-1.17
278.55,-1.26
278.53,-1.35
278.51,-1.44
278.48,-1.53
278.46,-1.62
278.44,-1.71
278.41,-1.80
278.43,-1.96
278.45,-2.11
278.46,-2.27
278.48,-2.42
278.45,-2.56
278.42,-2.70
278.39,-2.85
278.36,-2.99
278.32,-3.08
278.29,-3.17
278.25,-3.26
278.22,-3.35
278.18,-3.45
278.14,-3.54
278.11,-3.63
278.07,-3.72
278.06,-3.82
278.05,-3.92
278.04,-4.01
278.03,-4.11
278.02,-4.21
278.01,-4.31
278.00,-4.41
277.99,-4.50
277.99,-4.60
277.99,-4.69
277.99,-4.78
278.00,-4.88
278.00,-4.97
278.00,-5.07
278.00,-5.16
278.00,-5.25
278.01,-5.35
278.01,-5.44
278.02,-5.53
278.02,-5.63
278.03,-5.72
278.03,-5.82
278.04,-5.91
278.05,-6.00
278.09,-6.17
278.13,-6.33
278.17,-6.49
278.22,-6.66
278.27,-6.82
278.33,-6.98
278.39,-7.14
278.45,-7.31
278.49,-7.48
278.54,-7.65
278.58,-7.82
278.62,-7.99
278.67,-8.07
278.71,-8.16
278.75,-8.24
278.79,-8.33
278.83,-8.41
278.87,-8.50
278.92,-8.58
278.96,-8.67
279.00,-8.76
279.04,-8.86
279.09,-8.95
279.13,-9.05
279.17,-9.15
279.21,-9.24
279.26,-9.34
279.30,-9.43
279.38,-9.56
279.46,-9.68
279.55,-9.80
279.63,-9.92
279.68,-10.00
279.72,-10.08
279.77,-10.16
279.82,-10.24
279.86,-10.32
279.91,-10.40
279.96,-10.48
280.00,-10.56
280.05,-10.65
280.10,-10.74
280.14,-10.83
280.19,-10.93
280.24,-11.02
280.29,-11.11
280.33,-11.20
280.38,-11.29
280.44,-11.37
280.50,-11.44
280.56,-11.52
280.62,-11.59
280.68,-11.67
280.73,-11.74
280.79,-11.82
280.85,-11.89
280.91,-11.98
280.97,-12.08
281.03,-12.17
281.09,-12.27
281.15,-12.36
281.21,-12.45
281.27,-12.55
281.33,-12.64
281.40,-12.73
281.46,-12.83
281.53,-12.92
281.59,-13.01
281.66,-13.11
281.72,-13.20
281.79,-13.29
281.85,-13.39
281.91,-13.45
281.98,-13.52
282.04,-13.59
282.11,-13.65
282.17,-13.72
282.23,-13.78
282.30,-13.85
282.36,-13.91
282.42,-13.98
282.49,-14.05
282.55,-14.12
282.62,-14.19
282.68,-14.26
282.75,-14.33
282.81,-14.40
282.87,-14.47
282.96,-14.56
283.05,-14.66
283.14,-14.75
283.23,-14.84
283.32,-14.94
283.42,-15.03
283.51,-15.13
283.60,-15.22
283.72,-15.35
283.84,-15.48
283.96,-15.61
284.08,-15.74
284.08,-15.74
284.16,-15.81
284.24,-15.89
284.32,-15.96
284.40,-16.03
284.47,-16.11
284.55,-16.18
284.63,-16.26
284.71,-16.33
284.79,-16.39
