-78.6314,7.1228,328.6696
-78.5459,6.9834,328.6696
-78.4558,6.8485,326.4902
-78.3838,6.7270,329.5197
-78.3118,6.6280,324.1572
-78.2578,6.5470,326.4881
-78.2038,6.4525,330.4216
-78.1678,6.3625,338.3313
-78.1273,6.2679,336.9410
-78.0725,6.1355,337.6310
-78.0365,6.0665,332.5848
-78.0099,5.9577,339.4588
-77.9833,5.8489,346.3327
-77.9653,5.6776,350.1825
-77.9473,5.5063,354.0323
-77.9771,5.3411,358.0697
-78.0069,5.1759,2.1071
-78.0367,5.0107,6.1445
-78.0665,4.8455,10.1818
-78.0993,4.7498,11.2615
-78.1320,4.6540,12.3413
-78.1647,4.5583,13.4211
-78.1975,4.4626,14.5008
-78.2303,4.3668,15.5806
-78.2630,4.2711,16.6603
-78.2957,4.1753,17.7400
-78.3285,4.0796,18.8197
-78.3685,3.9954,19.6347
-78.4085,3.9111,20.4497
-78.4485,3.8268,21.2647
-78.4885,3.7426,22.0798
-78.5285,3.6583,22.8949
-78.5685,3.5741,23.7099
-78.6085,3.4899,24.5249
-78.6485,3.4056,25.3400
-78.7113,3.3291,27.0928
-78.7742,3.2526,28.8456
-78.8371,3.1761,30.5984
-78.9000,3.0996,32.3512
-78.9629,3.0231,34.1041
-79.0258,2.9466,35.8569
-79.0887,2.8701,37.6097
-79.1515,2.7936,39.3625
-79.2297,2.7054,39.9034
-79.3080,2.6171,40.4443
-79.3863,2.5289,40.9853
-79.4645,2.4406,41.5262
-79.5427,2.3523,41.5285
-79.6210,2.2641,41.5307
-79.6993,2.1759,41.5330
-79.7775,2.0876,41.5352
-79.8401,2.0220,41.7980
-79.9027,1.9564,42.0609
-79.9654,1.8907,42.3238
-80.0280,1.8251,42.5866
-80.0906,1.7594,42.8494
-80.1532,1.6938,43.1123
-80.2158,1.6282,43.3751
-80.2785,1.5626,43.6380
-80.3490,1.4386,40.1311
-80.4195,1.3146,36.6243
-80.4900,1.1906,33.1175
-80.5605,1.0666,29.6107
-80.6388,0.9113,28.8945
-80.7170,0.7561,28.1782
-80.7953,0.6008,27.4620
-80.8735,0.4456,26.7457
-80.9163,0.3561,26.5939
-80.9590,0.2666,26.4421
-81.0018,0.1771,26.2903
-81.0445,0.0876,26.1385
-81.0872,-0.0019,25.9867
-81.1300,-0.0914,25.8349
-81.1728,-0.1809,25.6831
-81.2155,-0.2704,25.5313
-81.2388,-0.3718,23.9546
-81.2620,-0.4731,22.3779
-81.2852,-0.5745,20.8012
-81.3085,-0.6759,19.2246
-81.3317,-0.7772,17.6479
-81.3550,-0.8786,16.0712
-81.3783,-0.9800,14.4945
-81.4015,-1.0814,12.9178
-81.4245,-1.1713,13.0971
-81.4475,-1.2611,13.2765
-81.4705,-1.3510,13.4558
-81.4935,-1.4409,13.6351
-81.5165,-1.5308,13.8144
-81.5395,-1.6206,13.9937
-81.5625,-1.7105,14.1730
-81.5855,-1.8004,14.3524
-81.5687,-1.9562,9.2305
-81.5520,-2.1119,4.1085
-81.5353,-2.2676,358.9865
-81.5185,-2.4234,353.8646
-81.5485,-2.5641,358.4040
-81.5785,-2.7049,2.9434
-81.6085,-2.8457,7.4828
-81.6385,-2.9864,12.0222
-81.6745,-3.0782,13.1882
-81.7104,-3.1700,14.3542
-81.7464,-3.2618,15.5202
-81.7823,-3.3537,16.6861
-81.8183,-3.4455,17.8521
-81.8542,-3.5373,19.0181
-81.8901,-3.6292,20.1841
